,Poster,Likes_count,Liker
0,NBATV,12,fries_brien
1,SteveCarell,11,fries_brien
2,manicsocratic,13,fries_brien
3,SportsTalkBarry,13,fries_brien
4,m_ndolyn,13,fries_brien
5,FreeMemesKids,6,fries_brien
6,AdamSandler,10,fries_brien
7,TotalProSports,14,fries_brien
8,Clever_Tricks,10,fries_brien
9,TheRealC_Castle,14,fries_brien
10,dyoung_89,11,fries_brien
11,Jared_Carrabis,13,fries_brien
12,zacknabox,7,fries_brien
13,Carlosss_27,12,fries_brien
14,JimmyTatro,12,fries_brien
15,espn,15,fries_brien
16,m_yosry2012,15,fries_brien
17,KaleighRaia,16,fries_brien
18,NFL,20,fries_brien
19,dallascowboys,12,fries_brien
