,Poster,Likes_count,Liker
0,KurvaVas,39,gargorl
1,geoffkeighley,52,gargorl
2,matthewktabor,30,gargorl
3,mimi_saulino,50,gargorl
4,ijustine,40,gargorl
5,revolutionry13,33,gargorl
6,TrollasaurusRx,30,gargorl
7,WhiteHouse,54,gargorl
8,hoodedgardener,28,gargorl
9,davidingolcar,45,gargorl
10,bigleaguepol,28,gargorl
11,tedcruz,43,gargorl
12,WTAE,60,gargorl
13,JanePitt,34,gargorl
14,appleinsider,46,gargorl
15,jennaezarik,80,gargorl
16,HealthRanger,52,gargorl
17,hammetjohn,43,gargorl
18,mashable,45,gargorl
