,Poster,Likes_count,Liker
0,_OjalaNo,12,hqtrivia
1,oldbeean,1,hqtrivia
2,hqtriviafans,4,hqtrivia
3,LindseyATL,2,hqtrivia
4,rouquinne,18,hqtrivia
5,gabyxcore,19,hqtrivia
6,hoydenmaven,3,hqtrivia
7,PJM143,29,hqtrivia
8,Foenix,10,hqtrivia
9,blizzard_wuffy,3,hqtrivia
10,bexmix,12,hqtrivia
11,musicsinmysoul3,19,hqtrivia
12,Norah_Kate,10,hqtrivia
13,zacory,14,hqtrivia
14,doctorklein,3,hqtrivia
15,ProfesserBird,18,hqtrivia
16,agent_orca,20,hqtrivia
17,carolinee_siv,17,hqtrivia
18,DylanAbruscato,25,hqtrivia
19,DougBenson,12,hqtrivia
20,CowboysCheer1,9,hqtrivia
21,thatDanMcVey,21,hqtrivia
22,CoryDeAdder,28,hqtrivia
23,Solkrates,3,hqtrivia
24,rus,28,hqtrivia
25,MelxGarcia,19,hqtrivia
