,Poster,Likes_count,Liker
0,SpaceX,77,ikoukas
1,polareclipse1,7,ikoukas
2,Devils73,22,ikoukas
3,boringcompany,16,ikoukas
4,russ_parrish,38,ikoukas
5,gdb,30,ikoukas
6,VeryVandy,11,ikoukas
7,LittleMissFlint,17,ikoukas
8,Tesla,11,ikoukas
9,OpenAI,14,ikoukas
10,smartereveryday,21,ikoukas
11,elonmusk,199,ikoukas
12,demishassabis,60,ikoukas
13,danbixby,5,ikoukas
14,rocketisfine,27,ikoukas
15,DJSnM,33,ikoukas
16,Erdayastronaut,57,ikoukas
17,LeilaniMunter,3,ikoukas
18,nuxvomo,2,ikoukas
19,somepitch,1,ikoukas
20,TrippedOutTech,1,ikoukas
21,apilipis,10,ikoukas
22,awsnapitsmel,7,ikoukas
23,VonMelee,24,ikoukas
