,Poster,Likes_count,Liker
0,SpaceHumanity,50,iramollay
1,echofon,35,iramollay
2,IridiumComm,17,iramollay
3,NotOnTheLeft,10,iramollay
4,oewf,13,iramollay
5,Sublymation,17,iramollay
6,CowboyDanPaasch,100,iramollay
7,andy_stones,29,iramollay
8,GDavisPhotos,10,iramollay
9,catchtheiridium,27,iramollay
10,nextspaceflight,4,iramollay
11,Spicey_Spiney,4,iramollay
12,TSKelso,13,iramollay
13,KlimpkeK,11,iramollay
14,IridiumBoss,20,iramollay
15,SpaceX,2,iramollay
16,SpaceXUpdates,2,iramollay
17,Astroguyz,16,iramollay
18,elonmusk,3,iramollay
19,ZumaPayload,3,iramollay
20,DFWSkyWatchers,5,iramollay
21,samuele_pinna,1,iramollay
22,TheASTGroup,1,iramollay
