,Poster,Likes_count,Liker
0,jaketapper,4,jimmykimmel
1,stereogum,49,jimmykimmel
2,SebastianComedy,25,jimmykimmel
3,robdelaney,71,jimmykimmel
4,abikedabiri,16,jimmykimmel
5,BuzzerSportsOff,30,jimmykimmel
6,chancetherapper,30,jimmykimmel
7,clydetombaugh,3,jimmykimmel
8,jonwurster,39,jimmykimmel
9,jonfavs,32,jimmykimmel
10,BastardMachine,34,jimmykimmel
11,ChrisEvans,28,jimmykimmel
12,CharlesPPierce,61,jimmykimmel
13,Lin_Manuel,33,jimmykimmel
14,Fred_Willard,1,jimmykimmel
15,JimmyTraina,7,jimmykimmel
16,birbigs,19,jimmykimmel
17,RitaOra,40,jimmykimmel
18,SportsCenter,23,jimmykimmel
19,chloebennet,25,jimmykimmel
20,MsgToObserver,17,jimmykimmel
21,LucyWins2018,47,jimmykimmel
22,Huey_Lewis_News,2,jimmykimmel
23,itsJulieBowen,29,jimmykimmel
