,Poster,Likes_count,Liker
0,dpanabaker,8,johnmurphy177
1,ned_luke,4,johnmurphy177
2,imacelebrity,5,johnmurphy177
3,RockstarGames,14,johnmurphy177
4,CRIMS0NGUARDX,3,johnmurphy177
5,Chaosxsilencer,3,johnmurphy177
6,pokimanelol,3,johnmurphy177
7,HuntShowdown,1,johnmurphy177
8,aarongreenberg,4,johnmurphy177
9,RedDeadBase,3,johnmurphy177
10,VirginMediaIE,4,johnmurphy177
11,XboxGamePass,1,johnmurphy177
12,LastRespawn,3,johnmurphy177
13,AullorNothing,4,johnmurphy177
14,MooSnuckel,3,johnmurphy177
15,BitsieTulloch,1,johnmurphy177
16,TrueAchievement,1,johnmurphy177
17,AniruddhJoshi,3,johnmurphy177
