,Poster,Likes_count,Liker
0,ScottRhodie,8,jturner_au
1,Reluctant_Us3r,15,jturner_au
2,breditor,16,jturner_au
3,Rory_Medcalf,11,jturner_au
4,psandilands,6,jturner_au
5,freakonometrics,4,jturner_au
6,linguangst,13,jturner_au
7,stilgherrian,25,jturner_au
8,WeldPond,26,jturner_au
9,JohnBlaxland1,10,jturner_au
10,riskybusiness,16,jturner_au
11,GenMhayden,12,jturner_au
12,brenankeller,14,jturner_au
13,Mich11775,7,jturner_au
14,Asher_Wolf,18,jturner_au
15,intrepidfear,16,jturner_au
16,IraSnave,4,jturner_au
17,BlogsofWar,5,jturner_au
18,halvarflake,4,jturner_au
19,tomsulston,3,jturner_au
