,Poster,Likes_count,Liker
0,AngryBlackLady,16,justinschuh
1,anniesullie,17,justinschuh
2,gunship47,31,justinschuh
3,patricktoomey,3,justinschuh
4,TychoTithonus,7,justinschuh
5,ericlaw,2,justinschuh
6,sgtjanedoe,17,justinschuh
7,K_JeanPierre,12,justinschuh
8,brenankeller,7,justinschuh
9,mkolsek,11,justinschuh
10,DavidAFrench,8,justinschuh
11,TheAVClub,13,justinschuh
12,nycsouthpaw,6,justinschuh
13,nadabakos,8,justinschuh
14,timothypmurphy,28,justinschuh
15,boboTjones,12,justinschuh
16,alexstamos,9,justinschuh
17,geezmarty,7,justinschuh
