,Poster,Likes_count,Liker
0,ztarikdaroglu,60,kadironurayla
1,anadoluajansi,35,kadironurayla
2,abdullah_eren,60,kadironurayla
3,aslantugfan,58,kadironurayla
4,oktayvural,47,kadironurayla
5,meral_aksener,39,kadironurayla
6,ozgurayla,76,kadironurayla
7,KenanAKSOY37,34,kadironurayla
8,iyiparti,36,kadironurayla
9,eerol1,63,kadironurayla
10,KucukkayaIsmail,45,kadironurayla
11,eminpazarci,54,kadironurayla
12,umitozdag,51,kadironurayla
13,knkmert,68,kadironurayla
14,meltemmcelik,115,kadironurayla
15,RT_Erdogan,57,kadironurayla
