,Poster,Likes_count,Liker
0,NWAmb_Marica,36,katy_mama
1,MentalHealthCop,25,katy_mama
2,adam_culyer,1,katy_mama
3,NWAmb_Darren,37,katy_mama
4,mindbluelight,49,katy_mama
5,BlondeinKevlar,14,katy_mama
6,BastionTCC,25,katy_mama
7,NWAmb_barbara,29,katy_mama
8,samaritans,33,katy_mama
9,VickiCoyne,46,katy_mama
10,NWAmb_Rigg,55,katy_mama
11,hatttiegladwell,2,katy_mama
12,RookieCityCop,3,katy_mama
13,jnlsfk,38,katy_mama
14,juleslockett06,44,katy_mama
15,dharford79,150,katy_mama
16,LargeFamilyMum,99,katy_mama
17,Dharford79S,14,katy_mama
18,stjohnambulance,2,katy_mama
19,colindowling02,20,katy_mama
20,SiSaysPSYCHOSIS,29,katy_mama
21,eliistender10,43,katy_mama
