,Poster,Likes_count,Liker
0,AmgenFoundation,3,khanacademy
1,sllerch,2,khanacademy
2,WES_GrantElem,2,khanacademy
3,Palos_118,32,khanacademy
4,VanessaLily23,10,khanacademy
5,Joseph_Matuch,5,khanacademy
6,humble,17,khanacademy
7,here4boysstate,25,khanacademy
8,iva_erceg,15,khanacademy
9,ampacura,26,khanacademy
10,SteMow,11,khanacademy
11,Alexia82992496,63,khanacademy
12,salkhanacademy,6,khanacademy
13,mrserinjewell,40,khanacademy
14,KeeleyDeAngelo,20,khanacademy
15,TheYidanPrize,23,khanacademy
16,mkuntz63,23,khanacademy
17,Mrs_Mahaffey_WD,1,khanacademy
18,OMRI__RIDHA,3,khanacademy
19,toriweisbrod,8,khanacademy
20,HeritageHSPats,5,khanacademy
21,raam_coumar,18,khanacademy
22,zhowez,11,khanacademy
23,Sue_Simonson,5,khanacademy
24,cbhl,17,khanacademy
25,ThirdGradeClass,3,khanacademy
26,JohnCarmack,20,khanacademy
27,WeibelLab,4,khanacademy
28,Mysticlol,24,khanacademy
29,BPSgr56Fried,3,khanacademy
30,Mrs_Wardlaw,37,khanacademy
31,MrsTorresArt,5,khanacademy
32,MrsFern_Davis,6,khanacademy
33,missyoulaura,41,khanacademy
34,GLDDbacks,5,khanacademy
35,OfficialSAT,35,khanacademy
36,karinalogy,36,khanacademy
37,campusbound,27,khanacademy
38,lupita_90_,9,khanacademy
39,ccorey223,3,khanacademy
40,tanmdiaz1,14,khanacademy
41,jeffrey_proud,2,khanacademy
42,gustavovelascoh,17,khanacademy
43,thisismyurl,20,khanacademy
44,PenscheScott,3,khanacademy
45,kboguski,7,khanacademy
46,MHadmissions,11,khanacademy
