,Poster,Likes_count,Liker
0,nithansannappa,17,kurtopsahl
1,keelytaylor,13,kurtopsahl
2,JasonIsbell,5,kurtopsahl
3,djolder,11,kurtopsahl
4,ippsec,19,kurtopsahl
5,starchy,10,kurtopsahl
6,20002ist,32,kurtopsahl
7,itgrrl,14,kurtopsahl
8,__muscles,6,kurtopsahl
9,JoeBeOne,15,kurtopsahl
10,jack_daniel,12,kurtopsahl
11,matthewamiller,13,kurtopsahl
12,bobmcmillan,7,kurtopsahl
13,ProfMMurray,13,kurtopsahl
14,lazybearsf,20,kurtopsahl
15,EFF,5,kurtopsahl
16,laparisa,2,kurtopsahl
17,Riana_Crypto,1,kurtopsahl
18,KimZetter,2,kurtopsahl
