,Poster,Likes_count,Liker
0,elonmusk,175,lazybfaucher
1,D0li0,59,lazybfaucher
2,Isckia,60,lazybfaucher
3,MacBitseach,57,lazybfaucher
4,DMC_Ryan,72,lazybfaucher
5,SenWhitehouse,64,lazybfaucher
6,wasloan21,71,lazybfaucher
7,phishygirl62,47,lazybfaucher
8,rb_beantown,36,lazybfaucher
9,neiltyson,56,lazybfaucher
10,Blake_B39,55,lazybfaucher
11,UnusuallyFlexib,58,lazybfaucher
12,Paul80366952,54,lazybfaucher
13,SenJeffMerkley,40,lazybfaucher
14,mackay_andre,67,lazybfaucher
15,fotonmon,58,lazybfaucher
16,ThePhoenixFlare,66,lazybfaucher
