,Poster,Likes_count,Liker
0,CarolineRussell,5,mTurismo_
1,PlayStationEU,14,mTurismo_
2,NRDC,32,mTurismo_
3,SierraClubWASt,7,mTurismo_
4,CameoCall,14,mTurismo_
5,RubinReport,51,mTurismo_
6,jose_otero,5,mTurismo_
7,JonoHimself,16,mTurismo_
8,andrearene,11,mTurismo_
9,GameOverGreggy,25,mTurismo_
10,Erdayastronaut,5,mTurismo_
11,PhillyD,11,mTurismo_
12,SpaceNews_Inc,19,mTurismo_
13,GiaTapHarris,5,mTurismo_
14,DMC_Ryan,13,mTurismo_
15,britdphillips,12,mTurismo_
16,SpaceX,8,mTurismo_
17,ExploreSpaceKSC,5,mTurismo_
18,TroyBakerVA,4,mTurismo_
19,scienceartcats,1,mTurismo_
20,ExtinctionR,16,mTurismo_
21,KindaFunnyVids,21,mTurismo_
22,AlterViggo,4,mTurismo_
23,evchels,1,mTurismo_
24,TesLatino,8,mTurismo_
25,Boogie2988,4,mTurismo_
26,answerswithjoe,15,mTurismo_
27,BlondeNerd,16,mTurismo_
28,SWarawra,8,mTurismo_
29,SpaceLaunchNow,10,mTurismo_
30,KojiPro2015_EN,14,mTurismo_
31,johnkrausphotos,8,mTurismo_
32,SlashLP89,2,mTurismo_
33,Rivian,17,mTurismo_
34,stevesi,12,mTurismo_
35,geoffkeighley,8,mTurismo_
36,elonmusk,51,mTurismo_
37,AlexaRayC,8,mTurismo_
38,KelvinYang7,2,mTurismo_
39,jaketapper,2,mTurismo_
40,PlayStation,6,mTurismo_
41,SpaceflightNow,4,mTurismo_
42,PSNation,11,mTurismo_
43,GameSpot,20,mTurismo_
44,AssaadRazzouk,1,mTurismo_
45,TeslaPodcast,5,mTurismo_
46,giocorsi,50,mTurismo_
47,yosp,14,mTurismo_
48,Twitch,13,mTurismo_
49,XavierWoodsPhD,4,mTurismo_
50,thegameawards,4,mTurismo_
51,Domenick_Y,24,mTurismo_
52,BillKristol,2,mTurismo_
