,Poster,Likes_count,Liker
0,DickKingSmith,39,major_clanger
1,ladymoonray,10,major_clanger
2,LauraSRobinson,38,major_clanger
3,hanneblank,32,major_clanger
4,RichardAJGibbs,65,major_clanger
5,emma_piasecki,29,major_clanger
6,Leisha007,44,major_clanger
7,AstroKatie,32,major_clanger
8,Rainmaker1973,42,major_clanger
9,BrieQC,51,major_clanger
10,CenterForBioDiv,9,major_clanger
11,TheICLR,15,major_clanger
12,ACriminalHack,1,major_clanger
13,hthjones,27,major_clanger
14,legionseagle,18,major_clanger
15,NASASpaceflight,4,major_clanger
16,askhamphoto,27,major_clanger
17,KangSolicitors,17,major_clanger
18,PPricklepants,14,major_clanger
19,DiploMog,35,major_clanger
20,BootstrapCook,47,major_clanger
21,jameelajamil,29,major_clanger
22,andrewjskatz,32,major_clanger
