,Poster,Likes_count,Liker
0,bullmarketsco,34,markjoyce1977
1,jon_rauch,22,markjoyce1977
2,bespokeinvest,27,markjoyce1977
3,juliagalef,22,markjoyce1977
4,RANsquawk,32,markjoyce1977
5,AnnieDuke,37,markjoyce1977
6,Blacklabellogic,28,markjoyce1977
7,Schuldensuehner,27,markjoyce1977
8,ReformedBroker,36,markjoyce1977
9,dailystoic,19,markjoyce1977
10,ukarlewitz,14,markjoyce1977
11,Jason,39,markjoyce1977
12,charliebilello,26,markjoyce1977
13,LukeGromen,34,markjoyce1977
14,fermatslibrary,26,markjoyce1977
15,StockTwits,24,markjoyce1977
16,DanaDelany,22,markjoyce1977
17,jordanbpeterson,43,markjoyce1977
18,RobinWigg,42,markjoyce1977
