,Poster,Likes_count,Liker
0,glichfield,25,martingiles
1,jfitzsimons,5,martingiles
2,CaseyNewton,24,martingiles
3,techreview,193,martingiles
4,_KarenHao,23,martingiles
5,jtemple,43,martingiles
6,kimmaicutler,31,martingiles
7,antonioregalado,1,martingiles
8,adschina,18,martingiles
9,wjzeng,41,martingiles
10,vanessajean,19,martingiles
11,preskill,5,martingiles
12,theNASEM,42,martingiles
13,erinwinick,88,martingiles
14,RichardHaass,2,martingiles
15,jfslowik,38,martingiles
16,bramsonboudreau,11,martingiles
17,AndreasAtETH,40,martingiles
18,SteveKerr,35,martingiles
19,FutureCrimes,12,martingiles
20,DonDraperClone,34,martingiles
