,Poster,Likes_count,Liker
0,AlanDersh,3,mattmaclanders
1,joerogan,4,mattmaclanders
2,RonPaul,2,mattmaclanders
3,EricRWeinstein,1,mattmaclanders
4,primalpoly,5,mattmaclanders
5,JamesAltschul,5,mattmaclanders
6,_The_Last_Lycan,5,mattmaclanders
7,Ruminorang,35,mattmaclanders
8,clairlemon,1,mattmaclanders
9,Victor_Drezna,4,mattmaclanders
10,demishassabis,4,mattmaclanders
11,SamHarrisOrg,1,mattmaclanders
12,rivatez,4,mattmaclanders
13,HPluckrose,2,mattmaclanders
14,ggreenwald,5,mattmaclanders
15,BretWeinstein,1,mattmaclanders
16,Joakim_Palm,5,mattmaclanders
