,Poster,Likes_count,Liker
0,MeatandBreadYYC,5,misscranky_jj
1,Ryan_the_Spoo,5,misscranky_jj
2,marlboroughmall,1,misscranky_jj
3,KristalTurner,35,misscranky_jj
4,theawkwardyeti,10,misscranky_jj
5,LaurenHerschel,24,misscranky_jj
6,CalgaryFoodBank,1,misscranky_jj
7,jujuniper,11,misscranky_jj
8,MaryLauraPh,11,misscranky_jj
9,EllisFun,20,misscranky_jj
10,poor_choices,16,misscranky_jj
11,ExploreEdmonton,5,misscranky_jj
12,gottaloveeEm,5,misscranky_jj
13,adolwyn,17,misscranky_jj
14,thenickynash,10,misscranky_jj
15,TransitVenture,18,misscranky_jj
16,Girly_1,1,misscranky_jj
17,MandyMay1982,30,misscranky_jj
18,markusoff,3,misscranky_jj
19,MichelleRSauve,5,misscranky_jj
20,DoggosOfYyc,1,misscranky_jj
21,Candace_YYC,15,misscranky_jj
22,CstShaw,25,misscranky_jj
23,court_hawthorne,2,misscranky_jj
24,gwendolynmr,1,misscranky_jj
25,IntrovertLiving,2,misscranky_jj
26,PadmaLakshmi,2,misscranky_jj
27,microbioscapes,2,misscranky_jj
28,mikesbloggity,12,misscranky_jj
29,SavvyReader,2,misscranky_jj
30,AudreyTrapolsi,4,misscranky_jj
31,Dylan_YYC,2,misscranky_jj
32,nickacoates,2,misscranky_jj
33,Chloe_0600,1,misscranky_jj
