,Poster,Likes_count,Liker
0,alicegoldfuss,8,mrculver11
1,JalenHurts,33,mrculver11
2,pwright1011,3,mrculver11
3,MollyBuffington,1,mrculver11
4,larahsandry,95,mrculver11
5,FunnyMaine,59,mrculver11
6,ALostrich,3,mrculver11
7,smartereveryday,59,mrculver11
8,tweetsoutloud,9,mrculver11
9,DrVonBraun,1,mrculver11
10,DJSnM,51,mrculver11
11,moodvintage,25,mrculver11
12,lorengrush,13,mrculver11
13,CBSSports,4,mrculver11
14,elonmusk,23,mrculver11
15,AlabamaFTBL,34,mrculver11
16,msm0202,3,mrculver11
17,dietstef,32,mrculver11
18,NBCNews,13,mrculver11
19,hayliemac8,31,mrculver11
