,Poster,Likes_count,Liker
0,muharremtac,5,mustafadalci
1,ermanturan,3,mustafadalci
2,EmrahEker_,3,mustafadalci
3,MevlanaM,5,mustafadalci
4,gurcanulusoy,4,mustafadalci
5,mtufekyapan,4,mustafadalci
6,caneraras,2,mustafadalci
7,DepressedDarth,5,mustafadalci
8,istekadinlar,1,mustafadalci
9,educatedear,1,mustafadalci
10,ermanyasar,2,mustafadalci
11,serhatugur,4,mustafadalci
12,webrazzi,2,mustafadalci
13,bbva,3,mustafadalci
14,barozva,3,mustafadalci
15,53Emre1907,4,mustafadalci
16,JaredWall01,6,mustafadalci
17,designerk,3,mustafadalci
18,ErhanErkut,2,mustafadalci
