,Poster,Likes_count,Liker
0,betsy_klein,34,oliverdarcy
1,realwokieleaks,35,oliverdarcy
2,davidmackau,5,oliverdarcy
3,USNavy,3,oliverdarcy
4,AaronWorthing,17,oliverdarcy
5,elainaplott,37,oliverdarcy
6,NoahCRothman,2,oliverdarcy
7,MonikaBauerlein,28,oliverdarcy
8,marthamaccallum,4,oliverdarcy
9,KFILE,12,oliverdarcy
10,Mr_Berman,3,oliverdarcy
11,KevinMKruse,11,oliverdarcy
12,stevemullis,11,oliverdarcy
13,jason_howerton,28,oliverdarcy
14,abbydphillip,33,oliverdarcy
15,SethAMandel,38,oliverdarcy
16,svershbow,17,oliverdarcy
17,wolfblitzer,26,oliverdarcy
18,ianbremmer,21,oliverdarcy
19,BrookeBCNN,18,oliverdarcy
20,woodruffbets,16,oliverdarcy
21,brianstelter,78,oliverdarcy
22,donie,15,oliverdarcy
23,perlberg,2,oliverdarcy
24,BuzzFeedBen,40,oliverdarcy
25,DavidRutz,3,oliverdarcy
26,colincampbell,3,oliverdarcy
27,byrdinator,47,oliverdarcy
28,oneunderscore__,38,oliverdarcy
29,jdawsey1,31,oliverdarcy
30,jeffglor,18,oliverdarcy
31,maxwelltani,35,oliverdarcy
32,mattmittenthal,25,oliverdarcy
33,ChristineRomans,2,oliverdarcy
34,RubensteinAdam,13,oliverdarcy
35,NoahShachtman,5,oliverdarcy
36,jbarro,14,oliverdarcy
37,Bencjacobs,5,oliverdarcy
38,akarl_smith,4,oliverdarcy
39,2AvSagas,43,oliverdarcy
40,BenMullin,25,oliverdarcy
41,jbillinson,13,oliverdarcy
42,alexstamos,9,oliverdarcy
43,KateBennett_DC,3,oliverdarcy
44,Jamie_Weinstein,11,oliverdarcy
45,passantino,11,oliverdarcy
46,AdamSerwer,48,oliverdarcy
47,JasonFarkas,16,oliverdarcy
48,TomKludt,32,oliverdarcy
49,ellefs0n,17,oliverdarcy
50,peterjhasson,16,oliverdarcy
