,Poster,Likes_count,Liker
0,28delayslater,20,phibetakitten
1,ZWilderTenor,4,phibetakitten
2,MagickLoge,20,phibetakitten
3,macrockets,3,phibetakitten
4,john_pitcher,2,phibetakitten
5,SGUYBRAY,3,phibetakitten
6,upper_slips_boy,7,phibetakitten
7,rolandscahill,19,phibetakitten
8,shandyland,3,phibetakitten
9,boringcompany,1,phibetakitten
10,y2000k,5,phibetakitten
11,bonnienorman,28,phibetakitten
12,knitandlisten,6,phibetakitten
13,RomaPete,28,phibetakitten
14,pronouncedsham,2,phibetakitten
15,ottawanag,2,phibetakitten
16,saramcclarinet,1,phibetakitten
17,killerlouise,3,phibetakitten
18,santafeopera,17,phibetakitten
19,Model3Owners,3,phibetakitten
20,sasherka,3,phibetakitten
21,orpheuswannabe,3,phibetakitten
22,Aspasia_1,4,phibetakitten
23,mountmccabe,13,phibetakitten
24,FiddySicks,5,phibetakitten
25,dredbeveridge,3,phibetakitten
26,asvokos,1,phibetakitten
27,elonmusk,10,phibetakitten
28,MusicologyDuck,46,phibetakitten
29,LisaIronTongue,1,phibetakitten
30,LindaHyphen,7,phibetakitten
31,OperaChaser,2,phibetakitten
32,WadeAndersonPT,3,phibetakitten
33,Susan_Brodie,9,phibetakitten
