,Poster,Likes_count,Liker
0,neontaster,12,politicalelle
1,GPollowitz,9,politicalelle
2,JesseKellyDC,44,politicalelle
3,Yuval_Rotem,10,politicalelle
4,lyndseyfifield,16,politicalelle
5,JamesHasson20,6,politicalelle
6,JWP1022,3,politicalelle
7,KyleKashuv,5,politicalelle
8,smarick,4,politicalelle
9,bennyjohnson,1,politicalelle
10,eyokley,4,politicalelle
11,xan_desanctis,1,politicalelle
12,exjon,5,politicalelle
13,GregCaseyMA,4,politicalelle
14,SoCalPhillie,5,politicalelle
15,speros901,4,politicalelle
16,russell_nm,2,politicalelle
17,conservmillen,2,politicalelle
18,GarrettHaake,5,politicalelle
19,FDRLST,3,politicalelle
20,MurderBryan,5,politicalelle
21,SonnyBunch,3,politicalelle
22,bandlersbanter,4,politicalelle
23,JerryDunleavy,4,politicalelle
24,ABC,3,politicalelle
25,BridgetPhetasy,4,politicalelle
26,Tattytats,2,politicalelle
27,josh_hammer,4,politicalelle
