,Poster,Likes_count,Liker
0,VancouverPD,4,postition
1,DaRealyestJones,1,postition
2,JulieSLalonde,4,postition
3,brinshannara,12,postition
4,legant66,5,postition
5,cxmposed,1,postition
6,NBCNews,5,postition
7,SanhoTree,4,postition
8,samwajashk,3,postition
9,ChiefsofOntario,1,postition
10,AylanX,7,postition
11,Adam_Stirling,1,postition
12,ddale8,3,postition
13,artdecider,2,postition
14,guardineer,3,postition
15,Ocasio2018,3,postition
16,CBCMontreal,19,postition
17,mec,2,postition
18,merry123459,4,postition
19,NekoCase,5,postition
20,MerlinYYC,1,postition
21,anotherhuman86,3,postition
22,anglmirou,5,postition
23,Relayer76,1,postition
24,KELLYWEILL,1,postition
25,moodyangela,5,postition
26,catherinea1992,1,postition
27,emtannie,15,postition
28,CanadaMoments,1,postition
29,davidpball,13,postition
30,MATCHIntFund,3,postition
31,PnPCBC,7,postition
32,scoopercooper,1,postition
33,salstrange,9,postition
34,DogginTrump,3,postition
35,Jestrgurl,5,postition
36,shoffmanAB,1,postition
37,Rand0mpers0n235,5,postition
38,portersure,3,postition
39,sblogga,2,postition
40,RedactedTonight,2,postition
41,SilentKW1,4,postition
42,MimiProbably,43,postition
43,TheRickWilson,1,postition
44,ChemicalEyeGuy,3,postition
45,thehill,11,postition
46,VPD2Fox15,3,postition
47,KarenLDenomme,4,postition
48,WillResistAdmin,4,postition
49,NYCAntifa,4,postition
50,FrankConniff,5,postition
51,moebius_strip,5,postition
52,EricHolthaus,3,postition
53,TinStL,3,postition
54,MuskokaMoneybag,4,postition
55,6thbrown,1,postition
56,YEARSofLIVING,5,postition
57,FreelanceAstrid,5,postition
58,pqpolitics,9,postition
59,MichelleGhsoub,4,postition
60,CBCAlerts,13,postition
61,ibewtraveler,1,postition
62,MoogKChan,3,postition
63,canadian_cousin,1,postition
64,Aniente,1,postition
65,fabulavancouver,1,postition
66,the_ns,3,postition
67,justinjm1,3,postition
68,kelstr13,4,postition
69,DianeMariePosts,16,postition
70,ErynnBrook,1,postition
71,faeriegore,5,postition
72,ericbowling260,2,postition
73,DaveBeninger,2,postition
74,B_Sputnik,14,postition
75,robbpettit,7,postition
76,GGeorgieGirl,4,postition
77,realscientists,5,postition
