,Poster,Likes_count,Liker
0,awwrianna,4,rikognition
1,randomsakuga,15,rikognition
2,offlineTVgg,3,rikognition
3,MartinWongPhoto,37,rikognition
4,KINGDOMHEARTS,14,rikognition
5,syarawrr,45,rikognition
6,siushi,2,rikognition
7,BangZoom,15,rikognition
8,OmNomDomz,18,rikognition
9,Shhotime,4,rikognition
10,keriwaza,10,rikognition
11,Crunchyroll,30,rikognition
12,xxfruitcakexx,12,rikognition
13,sheenaduquette,46,rikognition
14,TAHK0,28,rikognition
15,cerberusarms,16,rikognition
16,raon_leee,4,rikognition
17,THEalbertchang,74,rikognition
18,estherlynnhhj,38,rikognition
19,heybvp,54,rikognition
20,Sneaky,8,rikognition
21,Locodoco,4,rikognition
22,helloiamkate,22,rikognition
23,FlashJomm,58,rikognition
24,kinagrannis,34,rikognition
25,Arbys,52,rikognition
26,skipperr,6,rikognition
27,HYPEBEAST,5,rikognition
28,VampyBitme,25,rikognition
29,fwong,3,rikognition
30,yoshi_sudarso,28,rikognition
31,Lina_Serene,51,rikognition
32,philipwang,30,rikognition
33,wongfupro,14,rikognition
34,fuslie,120,rikognition
35,IGN,29,rikognition
36,LilyPichu,47,rikognition
37,DisguisedToast,35,rikognition
38,DubHaloo,32,rikognition
