,Poster,Likes_count,Liker
0,anuradhaxyz,88,romika_maitra
1,iansomerhalder,26,romika_maitra
2,WildmannHans,19,romika_maitra
3,politico,29,romika_maitra
4,UNPeacekeeping,19,romika_maitra
5,TheHinduScience,20,romika_maitra
6,UNICEFDRC,10,romika_maitra
7,DilliDurAst,19,romika_maitra
8,DDNewsLive,12,romika_maitra
9,MarkRuffalo,23,romika_maitra
10,NASA,14,romika_maitra
11,the_hindu,24,romika_maitra
12,India_AllSports,23,romika_maitra
13,SanobarFatma,30,romika_maitra
14,vajpeyikriti,20,romika_maitra
15,thevirdas,12,romika_maitra
