,Poster,Likes_count,Liker
0,h3rm17w0lf,41,rudr4_sarkar
1,KirkHammett,59,rudr4_sarkar
2,h1_kenan,53,rudr4_sarkar
3,nahoragg,57,rudr4_sarkar
4,robd4k,44,rudr4_sarkar
5,silencemind_,41,rudr4_sarkar
6,YShahinzadeh,57,rudr4_sarkar
7,RiyadPathan_,98,rudr4_sarkar
8,AliRazzaq_,57,rudr4_sarkar
9,m_abdul1ah,48,rudr4_sarkar
10,D0rkerDevil,162,rudr4_sarkar
11,rogue_kdc,42,rudr4_sarkar
12,mohithkalyan,117,rudr4_sarkar
13,mr_cyborgboy,58,rudr4_sarkar
14,shorifulinahid,34,rudr4_sarkar
15,KimberlyaCPA,61,rudr4_sarkar
