,Poster,Likes_count,Liker
0,l_g_jamieson,14,sara_s_thoughts
1,jpbrammer,4,sara_s_thoughts
2,not_too_shabbie,14,sara_s_thoughts
3,TheHazelHayes,31,sara_s_thoughts
4,anthonypadilla,14,sara_s_thoughts
5,meakoopa,27,sara_s_thoughts
6,AConnorManning,10,sara_s_thoughts
7,JackHoward,1,sara_s_thoughts
8,Neilicorn,5,sara_s_thoughts
9,sadkxit,4,sara_s_thoughts
10,HayleyKiyoko,8,sara_s_thoughts
11,hankgreen,24,sara_s_thoughts
12,brendonurie,11,sara_s_thoughts
13,juannisaac,7,sara_s_thoughts
14,KhanStopMe,4,sara_s_thoughts
15,proj4awesome,11,sara_s_thoughts
16,whippedlovato,9,sara_s_thoughts
17,Jenna_Marbles,5,sara_s_thoughts
18,billyeichner,34,sara_s_thoughts
19,BABYCARLOTO,2,sara_s_thoughts
20,chrissyteigen,4,sara_s_thoughts
21,justabloodygame,17,sara_s_thoughts
22,gracepetrie,7,sara_s_thoughts
23,ScottMadin,9,sara_s_thoughts
24,tomrosenthal,16,sara_s_thoughts
25,iamnotlucymoon,8,sara_s_thoughts
26,ohdearsoph,7,sara_s_thoughts
27,gracehelbig,28,sara_s_thoughts
28,RachLWhitehurst,5,sara_s_thoughts
29,INDIEWASHERE,17,sara_s_thoughts
30,catvalente,3,sara_s_thoughts
31,Boogie2988,2,sara_s_thoughts
32,patriotact,26,sara_s_thoughts
33,stevieboebi,43,sara_s_thoughts
