,Poster,Likes_count,Liker
0,lukeallenxvi,1,scottlanders
1,Seahawks,1,scottlanders
2,TimelessSPTV,2,scottlanders
3,BillPlaschke,4,scottlanders
4,ORLPartnership,3,scottlanders
5,BDP473,3,scottlanders
6,latimessports,2,scottlanders
7,JonAcuff,1,scottlanders
8,AmandaRTubbs,5,scottlanders
9,GasStationTuna,4,scottlanders
10,gsmx2,8,scottlanders
11,geotruckr,1,scottlanders
12,USGeocaching,24,scottlanders
13,yoohooair,5,scottlanders
14,WSUCougFB,12,scottlanders
15,GonzotheGreat,4,scottlanders
16,tavaresbooks,3,scottlanders
17,Think_BlueLA,3,scottlanders
18,TSPSI,2,scottlanders
19,blueweinitfc,2,scottlanders
20,Coughouse,4,scottlanders
21,tvdave,5,scottlanders
22,MJWhitehead,5,scottlanders
23,ringer,3,scottlanders
24,jadande,2,scottlanders
25,KSBY,3,scottlanders
26,woodypaige,5,scottlanders
27,latelateshow,4,scottlanders
28,mindykaling,3,scottlanders
29,Oga_DoctorBlue,2,scottlanders
30,pat_chun,4,scottlanders
31,RedHourBen,2,scottlanders
32,rianjohnson,1,scottlanders
33,TomCruise,3,scottlanders
34,MikeSilver,2,scottlanders
