,Poster,Likes_count,Liker
0,JessicaValenti,3,simonhg
1,RadioFreeTom,5,simonhg
2,CaroleeJ57,8,simonhg
3,Popehat,2,simonhg
4,danpfeiffer,21,simonhg
5,nycsouthpaw,18,simonhg
6,rotophonic,28,simonhg
7,AnnPeace05,5,simonhg
8,stevesilberman,17,simonhg
9,ItsReallyNick,14,simonhg
10,sciam,19,simonhg
11,domsale,3,simonhg
12,RepAlGreen,3,simonhg
13,paulvixie,1,simonhg
14,ChuckWendig,20,simonhg
15,gigaom,13,simonhg
16,TVietor08,13,simonhg
17,NateSilver538,34,simonhg
18,Zeddary,10,simonhg
19,kennykeil,4,simonhg
20,benwikler,13,simonhg
21,18F,2,simonhg
22,orenfalkowitz,28,simonhg
23,ksheekey,10,simonhg
24,MotherJones,15,simonhg
25,gigaomresearch,22,simonhg
26,ZevShalev,3,simonhg
27,CNN,18,simonhg
28,ChelseaClinton,20,simonhg
29,TheRickWilson,5,simonhg
30,DouthatNYT,20,simonhg
31,soledadobrien,19,simonhg
32,aprilaser,5,simonhg
33,benadida,1,simonhg
34,Drestown,28,simonhg
35,dcexaminer,4,simonhg
36,nycjim,19,simonhg
