,Poster,Likes_count,Liker
0,imyke,2,stalman
1,thatJordanDrake,6,stalman
2,PAWELECphoto,15,stalman
3,MKBHD,11,stalman
4,SnazzyQ,17,stalman
5,ditzkoff,18,stalman
6,rycrist,7,stalman
7,theleviallen,3,stalman
8,Dave2D,4,stalman
9,hussaintausif,13,stalman
10,josejacas,2,stalman
11,Dimitry49,4,stalman
12,pstmstr,19,stalman
13,tldtoday,4,stalman
14,thisistechtoday,4,stalman
15,TomCruise,13,stalman
16,JustinTse,31,stalman
17,lukecarmichael7,25,stalman
18,gruber,14,stalman
19,jacksonhvisuals,21,stalman
20,halidecamera,2,stalman
21,iElmedin,18,stalman
22,appleinsider,24,stalman
23,mendezlife84,23,stalman
24,MacRumors,16,stalman
25,darrelliderek,3,stalman
26,caspercdn,4,stalman
27,TimothyBuckSF,3,stalman
28,reneritchie,19,stalman
29,iMore,4,stalman
30,ABAOProductions,20,stalman
31,saradietschy,4,stalman
32,mondobytes,3,stalman
33,danmatakizawa,2,stalman
34,iMitul,13,stalman
35,CalebWojcik,2,stalman
36,5tu,9,stalman
37,brunocyr,10,stalman
38,mattdgonzalez,1,stalman
