,Poster,Likes_count,Liker
0,Negativecarbon,26,stapf
1,NSVann,19,stapf
2,TerraWatts2010,17,stapf
3,GlennBair,17,stapf
4,rlaurl,3,stapf
5,markburgerenerg,24,stapf
6,Stoltmann1971,18,stapf
7,TanziaMill,5,stapf
8,Cecalli_Helper,6,stapf
9,Renewable_USA,20,stapf
10,miketregent,11,stapf
11,susila55,15,stapf
12,pfitchell1,29,stapf
13,jsteimy,2,stapf
14,PopeCarlito,22,stapf
15,nickpwing,35,stapf
16,idrobinhood,4,stapf
17,aboutamoo,12,stapf
18,HiwattPete,16,stapf
19,kennedymaize,3,stapf
20,Grimhood,17,stapf
21,Boyintheband,4,stapf
22,RhoniDu,5,stapf
23,AceHoffman,18,stapf
24,dwinfrey72,16,stapf
25,consumermom,28,stapf
26,DrewTurner73,45,stapf
27,airforcepam,1,stapf
28,phpress,4,stapf
29,AmazingChevVolt,2,stapf
30,CleanAirMoms,14,stapf
31,ColinChin51,9,stapf
