,Poster,Likes_count,Liker
0,EloyS80,2,steponme0324
1,brotherhood_67,1,steponme0324
2,mayraa534,12,steponme0324
3,SJSchauer,4,steponme0324
4,Gibriol96,1,steponme0324
5,adriannugh,1,steponme0324
6,jtaylorrr11,2,steponme0324
7,l3ftist_thug,4,steponme0324
8,GiovanniVEVO,4,steponme0324
9,canns1998,4,steponme0324
10,alexxxisrdz,3,steponme0324
11,m__carrizales,5,steponme0324
12,ghanchett1,3,steponme0324
13,youngboywiIIis,4,steponme0324
14,MckaeShook,1,steponme0324
15,miriam_margaret,4,steponme0324
16,_TheOnlyPaula,1,steponme0324
17,mary_olvera14,3,steponme0324
18,gillian3100,1,steponme0324
