,Poster,Likes_count,Liker
0,mandomercs,2,sven_wildeman
1,johnkrausphotos,16,sven_wildeman
2,CentauriSpace,77,sven_wildeman
3,NASA,22,sven_wildeman
4,elonmusk,21,sven_wildeman
5,SnakeLazer,10,sven_wildeman
6,thespacedude,19,sven_wildeman
7,ObservatoryCats,13,sven_wildeman
8,retroscifiart,10,sven_wildeman
9,RealHeDi,11,sven_wildeman
10,julia_bergeron,2,sven_wildeman
11,anandmahindra,18,sven_wildeman
12,KSpaceAcademy,4,sven_wildeman
13,SpaceX,181,sven_wildeman
14,starwars,21,sven_wildeman
15,SBJoe2,42,sven_wildeman
16,MichaelGalanin,13,sven_wildeman
17,WorldAndScience,21,sven_wildeman
18,RocketRundown,25,sven_wildeman
19,TheFavoritist,17,sven_wildeman
20,Os_Runner,10,sven_wildeman
