,Poster,Likes_count,Liker
0,JeffreeStar,267,tdaisy77
1,HamillHimself,4,tdaisy77
2,MakeupByJxb,5,tdaisy77
3,TomCruise,16,tdaisy77
4,Rocioceja_,2,tdaisy77
5,TeaSpillYT,4,tdaisy77
6,ChrisEvans,15,tdaisy77
7,HammenHannah,3,tdaisy77
8,gabiisheree,8,tdaisy77
9,HealingMB,10,tdaisy77
10,Tonya_Stylz,54,tdaisy77
11,emiIydeschanels,6,tdaisy77
12,norvina1,13,tdaisy77
13,David_Boreanaz,2,tdaisy77
14,trishapaytas,4,tdaisy77
15,happyyballinger,3,tdaisy77
16,ThreeDailey,5,tdaisy77
17,emmadavisssss,19,tdaisy77
18,CandaceGray20,9,tdaisy77
19,flower_boho,9,tdaisy77
20,MisterPreda,11,tdaisy77
21,DonnieWahlberg,3,tdaisy77
22,Dead_Flip,1,tdaisy77
23,jamescharles,48,tdaisy77
24,LivPsy,3,tdaisy77
25,JoanVanArk3,10,tdaisy77
26,GlamLifeGuru,1,tdaisy77
27,PaigeChristieUK,2,tdaisy77
28,wolf_kht,4,tdaisy77
29,IntThings,1,tdaisy77
30,gabrielzamora,28,tdaisy77
31,shanedawson,40,tdaisy77
