,Poster,Likes_count,Liker
0,Model3Owners,5,tecnocato
1,TheRealFluBBa,6,tecnocato
2,GABRIELPADUA2,3,tecnocato
3,reviewjournal,5,tecnocato
4,tom_quimby,2,tecnocato
5,28delayslater,78,tecnocato
6,gwestr,5,tecnocato
7,BenSullins,1,tecnocato
8,S_Padival,7,tecnocato
9,GerberKawasaki,4,tecnocato
10,WorldAndScience,14,tecnocato
11,elonmusk,42,tecnocato
12,inversedotcom,1,tecnocato
13,citygirl_pdx,2,tecnocato
14,HyperChangeTV,5,tecnocato
15,frunkpuppy,3,tecnocato
16,NASA,4,tecnocato
17,mertistan,3,tecnocato
18,FredericLambert,14,tecnocato
19,FlatJannrickles,5,tecnocato
20,ElNuevoDia,14,tecnocato
21,mystealthXflies,2,tecnocato
22,AntonioParis,33,tecnocato
23,BullTesla,13,tecnocato
24,NectarPaola,5,tecnocato
25,ValueAnalyst1,2,tecnocato
26,CtrlAlt_D3stroy,13,tecnocato
27,Jornadapr,5,tecnocato
28,bobbyllew,5,tecnocato
29,Elbilforeningen,4,tecnocato
30,KiwiEV,3,tecnocato
31,BarkMSmeagol,3,tecnocato
32,Tesla,19,tecnocato
33,frischkopp,13,tecnocato
34,JcAsHcan,5,tecnocato
35,teslectrics,29,tecnocato
36,Erdayastronaut,12,tecnocato
37,dogsoftesla,5,tecnocato
38,fatropea,16,tecnocato
39,Gfilche,29,tecnocato
40,KaziooFX,5,tecnocato
41,TesLatino,8,tecnocato
42,SteveHamel16,21,tecnocato
43,tim_cook,4,tecnocato
44,RicoTesla,17,tecnocato
45,lola_del_mar,2,tecnocato
46,daniel_a_g86,3,tecnocato
47,SpaceX,4,tecnocato
48,bevvscott,9,tecnocato
49,ChristinaBu_,3,tecnocato
50,monteslm66,5,tecnocato
51,davidtayar5,5,tecnocato
52,ElectrekCo,6,tecnocato
53,bbonkk,4,tecnocato
54,jimmykimmel,5,tecnocato
55,tsla_dave,2,tecnocato
