,Poster,Likes_count,Liker
0,JudeBurger,21,teslaownersau
1,transenv,28,teslaownersau
2,_TomCross_,24,teslaownersau
3,JayWeatherill,61,teslaownersau
4,Tesla,29,teslaownersau
5,elonmusk,25,teslaownersau
6,MarkATipping,61,teslaownersau
7,Teslarati,24,teslaownersau
8,dennis_p,16,teslaownersau
9,rmcneall,20,teslaownersau
10,NLinAustralia,25,teslaownersau
11,DavidCaoEV,34,teslaownersau
12,simonahac,16,teslaownersau
13,ElectrekCo,39,teslaownersau
14,ProfRayWills,38,teslaownersau
15,mangrovemike,14,teslaownersau
16,ShintaBenilda,27,teslaownersau
17,MarkMelocco,27,teslaownersau
