,Poster,Likes_count,Liker
0,acoskun05,37,tgrl3gz
1,bakiatilal,14,tgrl3gz
2,mrarslanoglu,5,tgrl3gz
3,KptKUTERO,14,tgrl3gz
4,Cenk_Coruh,12,tgrl3gz
5,mansuryavas06,3,tgrl3gz
6,selmanozalp,107,tgrl3gz
7,ozgurmumcu,11,tgrl3gz
8,guventurks,2,tgrl3gz
9,osman_ozen1,7,tgrl3gz
10,ozer_akdemir,16,tgrl3gz
11,berfindagspace,3,tgrl3gz
12,oomurhanimm,18,tgrl3gz
13,tokcem,16,tgrl3gz
14,ozanbingoll,8,tgrl3gz
15,altipastanauta,1,tgrl3gz
16,BilincliyatM,4,tgrl3gz
17,canitti,1,tgrl3gz
18,otekidunyali,3,tgrl3gz
19,Yusuf_Kalyoncuo,25,tgrl3gz
20,TuhafAmaGercek,27,tgrl3gz
21,tr342487886221,5,tgrl3gz
22,SecretBist,12,tgrl3gz
23,ismailsaymaz,1,tgrl3gz
24,KamuranDemir35,8,tgrl3gz
25,scout0735,17,tgrl3gz
26,kursatcamsoy,2,tgrl3gz
27,uzunkokcan,7,tgrl3gz
28,Hozkomurcu,4,tgrl3gz
29,adnandalgakiran,1,tgrl3gz
30,ekonomikanaliz,3,tgrl3gz
31,ukarakullukcu,2,tgrl3gz
32,cem_tutar,18,tgrl3gz
33,SunaVarol_,3,tgrl3gz
34,enginn_yilmazz,37,tgrl3gz
35,MKuleli,5,tgrl3gz
36,emrealkin1969,5,tgrl3gz
37,TylerDenizo,2,tgrl3gz
38,ducane,1,tgrl3gz
39,petrol1971,18,tgrl3gz
40,uralakuzum,4,tgrl3gz
41,fr3762,12,tgrl3gz
42,tevfik_uyar,13,tgrl3gz
43,Alaattin_Aktas,2,tgrl3gz
44,agkiraz,18,tgrl3gz
45,AlgoRoboTrader,1,tgrl3gz
46,readerakn,5,tgrl3gz
47,AttilaKoksal,2,tgrl3gz
48,liberaLDP,2,tgrl3gz
49,karadagmetin2,1,tgrl3gz
50,guskuay,2,tgrl3gz
