,Poster,Likes_count,Liker
0,Missmonika_x,43,tom40830390
1,joshbilderback,29,tom40830390
2,tgilliard23,31,tom40830390
3,Why_Really_2017,25,tom40830390
4,barbernofx,39,tom40830390
5,CNN,35,tom40830390
6,NanoSpace1540,27,tom40830390
7,An_jelly_kaa,29,tom40830390
8,flo_tweet,30,tom40830390
9,Lalalalalola,27,tom40830390
10,Apple,24,tom40830390
11,Hoyles10,31,tom40830390
12,elonmusk,33,tom40830390
13,AskNationwide,24,tom40830390
14,TheMisterClean,29,tom40830390
15,Wellsy_23,27,tom40830390
16,gmr1805,24,tom40830390
17,SugarPinkFood,37,tom40830390
18,SkyUK,22,tom40830390
19,ThingsWork,23,tom40830390
