,Poster,Likes_count,Liker
0,saorifutachon1,32,tomoya__tp
1,ph_sgym1,53,tomoya__tp
2,tiger1tp,4,tomoya__tp
3,animebot50,8,tomoya__tp
4,mizuki0914_tp,23,tomoya__tp
5,akiko_lawson,5,tomoya__tp
6,As_Oimo_sax,3,tomoya__tp
7,Yuntp_Euphh,16,tomoya__tp
8,i_natsuki_horn,15,tomoya__tp
9,Tudo_rrose,15,tomoya__tp
10,kmtsthorn,27,tomoya__tp
11,January_30_YUG,2,tomoya__tp
12,btrbgomachan,5,tomoya__tp
13,Haru_PocaPoca,5,tomoya__tp
14,mai_Euph_,53,tomoya__tp
15,T0nrp42O1,15,tomoya__tp
16,keshi7034,2,tomoya__tp
17,kentomisaki0610,16,tomoya__tp
18,Yu_trumpet_1229,15,tomoya__tp
19,ramenmasterYuto,7,tomoya__tp
20,mfbk_ws_i7,9,tomoya__tp
21,Anba_Trumpet122,14,tomoya__tp
22,MykkzTb,5,tomoya__tp
23,27_daaaaai,10,tomoya__tp
24,bass____ch__2,5,tomoya__tp
25,emrappa,7,tomoya__tp
