,Poster,Likes_count,Liker
0,AmputeMilli,52,tuhafamasahici
1,senantonyosupor,22,tuhafamasahici
2,tuhafamasahici,38,tuhafamasahici
3,Carles5puyol,50,tuhafamasahici
4,MelissTuzunguc,44,tuhafamasahici
5,OdunHerif,42,tuhafamasahici
6,sergendeveci,38,tuhafamasahici
7,thecanst,40,tuhafamasahici
8,kapitalistruha1,30,tuhafamasahici
9,bunick10harf,48,tuhafamasahici
10,DrHalitAtik,95,tuhafamasahici
11,levent_bozkurt,5,tuhafamasahici
12,nazlicelik_,11,tuhafamasahici
13,Marshall_A4,26,tuhafamasahici
14,cuneytozdemir,62,tuhafamasahici
15,VineTrend,103,tuhafamasahici
16,ivansshatov,62,tuhafamasahici
17,tivibuspor,45,tuhafamasahici
18,cengizunder,27,tuhafamasahici
19,FodorGabor4,5,tuhafamasahici
20,icimizdekipic,28,tuhafamasahici
21,atakannozyurt,13,tuhafamasahici
22,ASRomaWomen,46,tuhafamasahici
