,Poster,Likes_count,Liker
0,myparmaksiz,4,ugurabi
1,saditekin,13,ugurabi
2,alpiksel,12,ugurabi
3,tlgynsk,17,ugurabi
4,icerikbulutu,8,ugurabi
5,emreguzer,22,ugurabi
6,ilkerilgen35,20,ugurabi
7,aykut_ibrisim,2,ugurabi
8,imdakat,22,ugurabi
9,kaansezyum,5,ugurabi
10,ozguralaz,40,ugurabi
11,hakansenbir,4,ugurabi
12,ersinmete,5,ugurabi
13,slownord,15,ugurabi
14,nacikahraman,5,ugurabi
15,guvenborca,2,ugurabi
16,frkncyr,7,ugurabi
17,sevketuy,28,ugurabi
18,demikina,4,ugurabi
19,HKNYLMAZ,1,ugurabi
20,fcoskun,4,ugurabi
21,yunustunak,26,ugurabi
22,selimtuncer,22,ugurabi
23,mserdark,5,ugurabi
24,rdytr,1,ugurabi
25,serbayarda,25,ugurabi
26,vkirtok,20,ugurabi
27,PRpinar,2,ugurabi
28,berkanbagci,15,ugurabi
29,alphanmanas,18,ugurabi
30,GSalmanoglu,3,ugurabi
31,halt_6kere9,1,ugurabi
32,remzisanver,8,ugurabi
33,umutaydin,57,ugurabi
34,simtoalev,5,ugurabi
35,ilyasteker,12,ugurabi
36,pazarlamayogisi,4,ugurabi
