,Poster,Likes_count,Liker
0,GadSaad,1,wimpiethe3
1,wikileaks,7,wimpiethe3
2,FDW_VB,5,wimpiethe3
3,julie_kelly2,5,wimpiethe3
4,geertwilderspvv,2,wimpiethe3
5,coachdeesmith,3,wimpiethe3
6,jihadwatchRS,2,wimpiethe3
7,DouglasKMurray,4,wimpiethe3
8,hailsith,1,wimpiethe3
9,JSD_Merica,5,wimpiethe3
10,arnoldkarskens,3,wimpiethe3
11,SamvanRooy1,5,wimpiethe3
12,Mirjam152,5,wimpiethe3
13,PriestOfGaming,1,wimpiethe3
14,Oikofiel,3,wimpiethe3
15,iowahawkblog,5,wimpiethe3
16,PoliticalIslam,3,wimpiethe3
17,BunnyBumfuzzle,10,wimpiethe3
18,AmberMeijlink,1,wimpiethe3
19,beek38,2,wimpiethe3
20,ChrisValence,4,wimpiethe3
21,KevinA830,5,wimpiethe3
22,Sh3ppey,5,wimpiethe3
23,Styx666Official,37,wimpiethe3
24,navyhato,5,wimpiethe3
25,johnhawkinsrwn,2,wimpiethe3
26,quosiop,1,wimpiethe3
27,randohitchens,5,wimpiethe3
28,SerbanNicoara,4,wimpiethe3
29,JamesonFrost,4,wimpiethe3
30,StefanMolyneux,2,wimpiethe3
31,EWThief132,5,wimpiethe3
32,getongab,3,wimpiethe3
33,TPOnl,5,wimpiethe3
34,RaphaelBeerlin,3,wimpiethe3
35,CraigInThe843,1,wimpiethe3
36,JoostNiemoller,41,wimpiethe3
37,ReticentTurnip,5,wimpiethe3
38,DanielyanEd,4,wimpiethe3
39,Martinbosma_pvv,2,wimpiethe3
40,mims,2,wimpiethe3
41,thierrybaudet,1,wimpiethe3
42,primalpoly,18,wimpiethe3
43,NiemandsKnegt,3,wimpiethe3
44,scottbudman,5,wimpiethe3
45,ventivian,2,wimpiethe3
