,Poster,Likes_count,Liker
0,jessfraz,4,wkandek
1,queenozymandias,2,wkandek
2,scottlincicome,1,wkandek
3,martijn_grooten,5,wkandek
4,Ocasio2018,4,wkandek
5,beingbernz,1,wkandek
6,Maliciouslink,3,wkandek
7,angealbertini,1,wkandek
8,jaysonstreet,3,wkandek
9,RealGeneKim,1,wkandek
10,BadgeWizard,4,wkandek
11,rmayemsinger,2,wkandek
12,loaquilino,2,wkandek
13,DSAArchaeology,5,wkandek
14,BBCAfrica,5,wkandek
15,ffrankieadams,3,wkandek
16,qualys,2,wkandek
17,a_greenberg,2,wkandek
18,bvdhai,3,wkandek
19,justinembone,4,wkandek
