,Poster,Likes_count,Liker
0,MotherJones,42,wxkev
1,itsfredoalvarez,26,wxkev
2,neeratanden,45,wxkev
3,DrShepherd2013,57,wxkev
4,danpfeiffer,38,wxkev
5,AriBerman,86,wxkev
6,WxComm,31,wxkev
7,IvePetThatDog,51,wxkev
8,jules_su,37,wxkev
9,dog_rates,83,wxkev
10,TheDweck,22,wxkev
11,MindfulMajority,57,wxkev
12,joshgreenman,9,wxkev
13,RepJeffries,51,wxkev
14,kurteichenwald,4,wxkev
15,DavidKlion,52,wxkev
16,Bilder_CEM,5,wxkev
17,matthewamiller,45,wxkev
18,nowthisnews,51,wxkev
19,jbarro,5,wxkev
20,RepJayapal,45,wxkev
21,wxJeffDuda,33,wxkev
22,wx_becks,18,wxkev
