,Poster,Likes_count,Liker
0,EdLatimore,37,zslayback
1,Blacklabellogic,27,zslayback
2,William_Blake,32,zslayback
3,dgkeyes,14,zslayback
4,DStrachman,54,zslayback
5,sarahemclaugh,4,zslayback
6,jeffgiesea,2,zslayback
7,tveastman,2,zslayback
8,andrewkolodny,3,zslayback
9,jonlpersson,20,zslayback
10,JonahNRO,20,zslayback
11,declan_wilson_,30,zslayback
12,RSI,37,zslayback
13,AEI,11,zslayback
14,reason,4,zslayback
15,david_perell,8,zslayback
16,robbysoave,5,zslayback
17,nateliason,12,zslayback
18,primalpoly,27,zslayback
19,nntaleb,7,zslayback
20,AustenAllred,17,zslayback
21,ramit,22,zslayback
22,ArthurSchwartz,30,zslayback
23,micsolana,4,zslayback
24,wrathofgnon,27,zslayback
25,bjfogg,17,zslayback
26,michaelmalice,65,zslayback
27,dhh,2,zslayback
28,sknthla,29,zslayback
29,udiWertheimer,28,zslayback
30,riseandclaim,4,zslayback
31,AaronWatson59,30,zslayback
32,MarkLutter,19,zslayback
